BodyWeight,WitherHeight,BodyLength,GirthCirc
116,99,91,129
106,93,88,117
132,102,92,120
153,110,103,134
138,103,99,126
135,103,99,126
146,101,96,132
158,102,98,140
99,95,88,120
130,100,97,126
129,105,93,125
82,95,90,107
101,97,89,116
103,96,85,113
98,91,89,119
151,104,101,134
113,96,87,117
137,101,93,122
120,95,93,123
102,96,94,116
120,98,101,125
155,104,105,130
111,97,96,118
109,92,86,114
112,98,88,120
184,102,100,140
142,98,99,126
183,103,104,140
99,93,88,111
117,97,94,121
106,94,86,114
92,90,85,107
99,95,88,121
151,99,98,130
144,101,95,138
148,103,98,130
147,106,103,130
133,109,109,121
176,103,105,132
128,94,94,108
163,108,110,141
113,92,89,117
140,100,99,127
127,100,99,130
158,104,110,145
124,95,89,127
153,106,102,127
123,100,95,119
123.5,104,94,126
125,104,109,123
118,100,93,119
141,98,96,124
143,96,98,128
99,95,90,120
106,97,92,116
142,96,94,124
117,101,95,120
120,100,90,123
136,103,101,135
200,105,102,138
125,98,97,126
116,103,98,118
160,100,97,136
140,104,95,132
110,100,100,121
132,102,96,125
135,99,95,128
98,99,96,143
149,101,96,128
119,97,90,111
145,106,113,135
148,107,108,125
140,104,104,135
137,101,91,125
138,102,100,134
120,103,91,119
144,102,101,126
145,106,108,138
120,96,94,114
130,102,100,125
131,107,100,123
132,100,99,119
107,95,93,123
135,100,99,124
99.5,95,91,113
103,95,91,116
103,104,99,112
107,99,91,113
98,98,92,112
92,98,92,109
133,97,94,125
109,99,90,116
94,97,83,113
126,100,93,124
117,99,88,122
103,96,92,112
136,91,97,124
117,105,100,124
117,97,93,121
109,99,95,116
100,95,90,118
100,95,92,113
145,107,101,126
119,96,88,116
111,96,91,116
103,95,94,111
127,101,96,117
122,92,94,121
106,95,95,117
95,98,90,119
113,102,90,120
105,100,92,116
127,97,94,137
88,97,89,108
121,101,95,118
106,98,92,116
100,94,91,116
112,97,89,117
109,100,94,116
130,99,91,125
117,92,88,127
126,102,92,120
123,100,94,118
102,98,88,116
97,93,84,114
110,92,90,116
98,98,90,116
91,95,86,122
101,102,96,117
132,103,98,120
120,101,95,121
137,103,100,128
143,97,96,127
111,94,88,118
110,102,96,120
107,102,92,118
106,93,90,121
121,102,98,123
106,96,88,120
114,100,92,122
101,90,85,118
122,104,97,126
166,105,107,144
129,104,100,125
138,106,100,130
155,104,100,136
139,104,97,134
150,103,98,134
138,101,95,125
142,112,110,123
163,101,96,141
142,104,103,130
156,96,100,132
133,102,100,128
144,100,102,132
136,101,95,124
146,104,107,127
113,91,89,118
125,100,97,123
152,107,110,132
128,101,100,120
126,100,96,122
136,100,98,131
165,103,97,137
124,98,93,126
143,101,105,132
166,107,105,138
161,102,101,138
144,106,98,128
156,110,105,134
157,103,95,142
163,102,104,134
123,97,92,123
119,97,98,118
165,106,97,147
146,102,96,129
118,97,90,121
117,97,92,125
113,97,95,122
135,102,101,127
126,102,98,126
164,105,104,128
120,101,102,123
143,105,101,128
121,100,103,128
126,98,96,119
158,101,97,135
115,97,91,126
160,108,102,136
142,103,96,130
121,101,99,118
135,98,95,126
123,97,94,122
159,107,105,133
177,109,109,139
176,107,100,138
189,105,106,139
112,98,96,122
110,91,88,117
141,94,95,126
172,104,98,134
110,89,88,115
172,108,105,139
112,91,88,120
150,107,99,136
119,85,91,123
134,105,97,123
104,95,94,118
102,96,92,117
93,93,94,112
